time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,7,1,0.0,0.0,0,,,,,0
1,7,1,1.1,1.1,0,,,,,1
2,7,1,2.2,1.1,0,,,,,1
3,7,1,3.3,1.1,0,,,,,1
4,7,1,4.4,1.1,0,,,,,1
5,7,1,5.28,0.88,0,,,,,0
6,7,1,6.19,0.92,0,,,,,1
7,7,1,7.29,1.1,0,,,,,2
8,7,1,8.53,1.24,0,,,,,2
9,7,1,9.99,1.47,0,,,,,3
10,7,1,11.53,1.54,0,,,,,2
11,7,1,14.52,2.99,0,,,,,2
12,7,1,17.07,2.56,0,,,,,6
13,7,1,19.57,2.5,0,,,,,4
14,7,1,22.46,2.89,0,,,,,3
15,7,1,25.44,2.98,0,,,,,4
16,7,1,28.61,3.17,0,,,,,3
17,7,1,31.64,3.04,1,,,,,5
18,7,1,34.64,3.0,1,,,,,5
19,7,1,37.89,3.25,1,,,,,2
20,7,1,41.08,3.19,1,,,,,4
21,7,1,44.39,3.31,1,,,,,2
22,7,1,47.55,3.16,1,,,,,6
23,7,1,50.78,3.24,1,,,,,4
24,7,1,53.91,3.13,1,,,,,5
25,7,1,57.28,3.36,2,,,,,1
26,7,1,60.76,3.49,2,,,,,2
27,7,1,64.37,3.6,2,,,,,3
28,7,1,67.77,3.4,2,,,,,2
29,7,1,71.29,3.52,2,,,,,2
30,7,1,75.05,3.76,2,,,,,3
31,7,1,78.84,3.8,3,,,,,2
32,7,1,82.57,3.72,3,,,,,2
33,7,1,86.25,3.68,3,,,,,2
34,7,1,89.92,3.68,3,,,,,3
35,7,1,93.61,3.68,3,,,,,3
36,7,1,97.37,3.76,3,,,,,3
37,7,1,101.1,3.73,3,,,,,5
38,7,1,104.83,3.72,4,,,,,2
39,7,1,108.58,3.75,4,,,,,5
40,7,1,112.26,3.68,4,,,,,5
41,7,1,115.87,3.61,4,,,,,5
42,7,1,119.4,3.53,4,,,,,4
43,7,1,122.9,3.49,4,,,,,6
44,7,1,126.4,3.5,4,,,,,4
45,7,1,129.91,3.52,5,,,,,4
46,7,1,133.51,3.6,5,,,,,3
47,7,1,137.15,3.64,5,,,,,2
48,7,1,140.86,3.71,5,,,,,2
49,7,1,144.65,3.79,5,,,,,2
50,7,1,148.51,3.87,5,,,,,2
51,7,1,152.51,4.0,6,,,,,2
52,7,1,156.65,4.13,6,,,,,3
53,7,1,160.8,4.15,6,,,,,3
54,7,1,164.88,4.08,6,,,,,2
55,7,1,168.92,4.04,6,,,,,4
56,7,1,172.99,4.08,6,,,,,3
57,7,1,177.13,4.14,7,,,,,4
58,7,1,181.3,4.17,7,,,,,3
59,7,1,185.49,4.19,7,,,,,5
60,7,1,189.64,4.15,7,,,,,5
61,7,1,193.69,4.05,7,,,,,6
62,7,1,197.68,4.0,7,,,,,3
63,7,1,201.62,3.93,8,,,,,3
64,7,1,205.56,3.94,8,,,,,3
65,7,1,209.51,3.95,8,,,,,4
66,7,1,213.48,3.97,8,,,,,3
67,7,1,217.43,3.95,8,,,,,4
68,7,1,221.42,3.99,8,,,,,6
69,7,1,225.38,3.96,9,,,,,3
70,7,1,229.36,3.98,9,,,,,4
71,7,1,233.3,3.94,9,,,,,6
72,7,1,237.26,3.96,9,,,,,3
73,7,1,241.2,3.94,9,,,,,5
74,7,1,245.09,3.89,9,,,,,2
75,7,1,248.95,3.86,10,,,,,4
76,7,1,252.77,3.82,10,,,,,4
77,7,1,256.62,3.85,10,,,,,3
78,7,1,260.39,3.77,10,,,,,6
79,7,1,264.12,3.74,10,,,,,4
80,7,1,267.86,3.73,10,,,,,2
81,7,1,271.65,3.8,10,,,,,5
82,7,1,275.45,3.8,11,,,,,3
83,7,1,279.22,3.76,11,,,,,6
84,7,1,282.91,3.69,11,,,,,3
85,7,1,286.59,3.68,11,,,,,5
86,7,1,290.27,3.68,11,,,,,7
87,7,1,293.97,3.7,11,,,,,3
88,7,1,297.72,3.75,11,,,,,3
89,7,1,301.33,3.61,12,,,,,4
90,7,1,304.99,3.66,12,,,,,5
91,7,1,308.64,3.65,12,,,,,2
92,7,1,312.52,3.89,12,,,,,2
93,7,1,316.38,3.86,12,,,,,2
94,7,1,320.31,3.93,12,,,,,4
95,7,1,324.26,3.95,13,,,,,2
96,7,1,328.11,3.85,13,,,,,3
97,7,1,331.97,3.86,13,,,,,3
98,7,1,335.86,3.89,13,,,,,3
99,7,1,339.83,3.96,13,,,,,1
100,7,1,343.92,4.09,13,,,,,3
101,7,1,347.99,4.07,14,,,,,4
102,7,1,352.23,4.24,14,,,,,3
103,7,1,356.35,4.11,14,,,,,3
104,7,1,360.41,4.06,14,,,,,2
105,7,1,364.47,4.06,14,,,,,3
106,7,1,368.47,4.0,14,,,,,3
107,7,1,372.39,3.93,15,,,,,3
108,7,1,376.18,3.79,15,,,,,3
109,7,1,379.96,3.77,15,,,,,3
110,7,1,383.63,3.68,15,,,,,2
111,7,1,387.23,3.6,15,,,,,1
112,7,1,390.78,3.55,15,,,,,3
113,7,1,394.32,3.53,15,,,,,3
114,7,1,397.76,3.45,16,,,,,5
115,7,1,401.11,3.35,16,,,,,4
116,7,1,404.43,3.32,16,,,,,4
117,7,1,407.74,3.31,16,,,,,2
118,7,1,411.06,3.32,16,,,,,3
119,7,1,414.38,3.31,16,,,,,3
120,7,1,417.75,3.38,16,,,,,2
121,7,1,421.22,3.47,17,,,,,1
122,7,1,424.66,3.44,17,,,,,3
123,7,1,428.0,3.34,17,,,,,1
124,7,1,431.16,3.16,17,,,,,3
125,7,1,434.26,3.09,17,,,,,3
126,7,1,437.47,3.21,17,,,,,2
127,7,1,440.67,3.2,17,,,,,2
128,7,1,443.82,3.15,17,,,,,0
129,7,1,446.8,2.98,18,,,,,0
130,7,1,449.64,2.84,18,,,,,0
131,7,1,452.36,2.72,18,,,,,1
132,7,1,454.94,2.58,18,,,,,2
133,7,1,457.38,2.44,18,,,,,2
134,7,1,459.76,2.38,18,,,,,2
135,7,1,460.86,1.1,18,,,,,1
136,7,1,462.51,1.65,18,,,,,2
137,7,1,463.61,1.1,18,,,,,0
138,7,1,464.98,1.37,18,,,,,2
139,7,1,464.98,0.0,18,,,,,0
140,7,1,464.98,0.0,18,,,,,0
141,7,1,466.52,1.54,18,,,,,1
142,7,1,466.52,0.0,18,,,,,0
143,7,1,467.07,0.55,18,,,,,1
144,7,1,467.8,0.73,18,,,,,1
145,7,1,469.45,1.65,18,,,,,4
146,7,1,470.99,1.54,18,,,,,1
147,7,1,472.64,1.65,18,,,,,2
148,7,1,472.64,0.0,18,,,,,0
149,7,1,472.64,0.0,18,,,,,0
150,7,1,473.74,1.1,18,,,,,1
151,7,1,474.29,0.55,19,,,,,0
152,7,1,475.02,0.73,19,,,,,1
153,7,1,475.84,0.82,19,,,,,1
154,7,1,478.04,2.2,19,,,,,2
155,7,1,480.24,2.2,19,,,,,2
156,7,1,482.44,2.2,19,,,,,2
157,7,1,484.63,2.2,19,,,,,2
158,7,1,486.08,1.45,19,,,,,1
159,7,1,488.28,2.2,19,,,,,2
160,7,1,491.03,2.75,19,,,,,3
161,7,1,493.96,2.93,19,,,,,3
162,7,1,496.71,2.75,19,,,,,2
163,7,1,499.56,2.86,19,,,,,3
164,7,1,502.31,2.75,19,,,,,2
165,7,1,505.3,2.98,20,,,,,4
166,7,1,508.32,3.02,20,,,,,3
167,7,1,511.25,2.93,20,,,,,2
168,7,1,514.22,2.97,20,,,,,3
169,7,1,517.11,2.9,20,,,,,2
170,7,1,520.04,2.93,20,,,,,3
