time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,3.07,1.49,0,40.019458,116.284952,55.6,,12
1,0,1,5.16,1.67,0,40.019455,116.284932,55.5,,2
2,0,1,7.32,1.82,0,40.019453,116.284912,55.4,,1
3,0,1,9.51,1.91,0,40.01945,116.284889,55.3,,3
4,0,1,11.78,2.09,0,40.019447,116.284866,55.1,,3
5,0,1,14.06,1.88,0,40.019444,116.284841,55.0,,2
6,0,1,16.34,1.78,0,40.01944,116.284814,54.9,,3
7,0,1,18.59,1.77,1,40.019435,116.284786,54.8,,1
8,0,1,20.89,2.27,1,40.019429,116.284756,54.6,,2
9,0,1,23.29,2.73,1,40.019421,116.284724,54.5,,3
10,0,1,25.92,3.77,1,40.019412,116.284691,54.3,,3
11,0,1,28.74,3.92,1,40.019401,116.284656,54.1,,2
12,0,1,31.67,3.67,1,40.019388,116.28462,53.9,,4
13,0,1,34.73,3.81,2,40.019372,116.284582,53.7,,3
14,0,1,37.86,3.58,2,40.019355,116.284542,53.5,,3
15,0,1,41.03,3.2,2,40.019337,116.284503,53.3,,3
16,0,1,44.19,2.84,2,40.019321,116.284467,53.2,,2
17,0,1,47.37,3.0,2,40.019307,116.284437,53.0,,0
18,0,1,50.51,2.52,3,40.019293,116.284414,52.9,,3
19,0,1,53.5,1.43,3,40.019273,116.284401,52.8,,2
20,0,1,56.49,1.14,3,40.019245,116.284399,52.8,,0
21,0,1,59.48,1.47,3,40.019211,116.284404,52.7,,2
22,0,1,62.47,2.15,3,40.019179,116.284411,52.6,,2
23,0,1,65.46,2.5,3,40.01915,116.284416,52.6,,3
24,0,1,68.45,2.27,4,40.019125,116.284419,52.6,,2
25,0,1,71.44,2.68,4,40.0191,116.284422,52.6,,4
26,0,1,74.43,2.84,4,40.019073,116.284424,52.6,,2
27,0,1,77.42,3.04,4,40.019043,116.284426,52.6,,3
28,0,1,80.41,3.31,4,40.019012,116.284429,52.6,,2
29,0,1,83.4,3.27,4,40.01898,116.284432,52.6,,2
30,0,1,86.39,3.19,4,40.018949,116.284435,52.6,,3
31,0,1,89.38,3.25,5,40.018917,116.284437,52.6,,2
32,0,1,92.38,3.24,5,40.018887,116.28444,52.5,,3
33,0,1,95.37,2.89,5,40.018859,116.284443,52.5,,3
34,0,1,98.37,2.39,5,40.018832,116.284446,52.5,,2
35,0,1,101.36,2.8,5,40.018806,116.284449,52.5,,6
36,0,1,104.36,2.48,5,40.018781,116.284452,52.5,,3
37,0,1,107.36,2.74,6,40.018756,116.284454,52.5,,4
38,0,1,110.36,2.74,6,40.018731,116.284456,52.5,,4
39,0,1,113.36,2.6,6,40.018705,116.284458,52.5,,4
40,0,1,116.36,2.57,6,40.018679,116.28446,52.5,,3
41,0,1,119.36,2.34,6,40.018653,116.284462,52.5,,5
42,0,1,122.35,2.48,7,40.018626,116.284464,52.5,,3
